scene,section,tag,all_text
7,5,MIRABEL,"OH, AND THAT’S MY MOM JULIETA, HERE’S HER DEAL. WHOA, THE TRUTH IS, SHE CAN HEAL YOU WITH A MEAL. WHOA, HER RECIPES ARE REMEDIES FOR REAL. IF YOU’RE IMPRESSED, IMAGINE HOW I FEEL - (gets kissed by Julieta) MOM?!"
7,6,Action,"Mirabel who heads through the bustling town, were we see flowers, fruit, a guy selling a huge stack of hats, etc."
7,7,MIRABEL,"WELCOME TO THE FAMILY MADRIGAL! THE HOME OF THE FAMILY MADRIGAL! HEY COMING THROUGH! I KNOW IT SOUNDS A BIT FANTASTICAL AND MAGICAL, BUT I’M PART OF THE FAMILY MADRIGAL!"
7,8,Action,"Mirabel points out her dad, Agustín, and Tio Félix."
7,9,MIRABEL,TWO GUYS FELL IN LOVE WITH FAMILY MADRIGAL!
7,10,AGUSTÍN/FÉLIX,"HEY, FAMILY MADRIGAL!"
7,11,MIRABEL,"AND NOW THEY’RE PART OF THE FAMILY MADRIGAL. SO YEAH TIO FÉLIX MARRIED PEPA, AND MY DAD MARRIED JULIETA, THAT’S HOW ABUELA BECAME ABUELA MADRIGAL! LET’S GO, LET’S GO!"
8,1,Action,"Abuela Alma steps forward, helping the town."
8,2,ABUELA ALMA,WE SWEAR TO ALWAYS HELP THOSE AROUND US AND EARN THE MIRACLE THAT SOMEHOW FOUND US
8,3,Action,"Alma helps a family build a new home and ensures the Madrigals are doing everything they can to help the community. Abuela Alma is almost the mayor of this town, well- respected and leads by example."
8,4,ABUELA ALMA,THE TOWN KEEPS GROWING THE WORLD KEEPS TURNING BUT HARD WORK AND DEDICATION WILL KEEP THE MIRACLE BURNING AND EACH NEW GENERATION MUST KEEP THE MIRACLE BURNING...
8,5,Action,"Back to Mirabel, leading the kids into the main plaza, which is packed with people shopping, selling and buying goods, and the Madrigals buzz around helping everyone."
8,6,WALLA,Permiso/ make way for the Madrigals / Thanks for your help! / It’s a big day! / Good luck tonight! / Hormigas Santandereanas! / Get your candles for tonight’s ceremony!
8,7,KIDS,"Who’s a sister, who’s a cousin?! / There’s so many people!/ How do you keep them all straight?"
8,8,MIRABEL,"Okay, okay, okay, okay... SO MANY KIDS IN OUR HOUSE SO LET’S TURN THE SOUND UP! YOU KNOW WHY? I THINK IT’S TIME FOR A GRANDKID ROUNDUP!"
8,9,MIRABEL/KIDS/TOWN,GRANDKID ROUNDUP!
8,10,MIRABEL,(dropping a pin) COUSIN DOLORES CAN HEAR A PIN DROP
8,11,Action,"Dolores appears, her hand to her ear."
9,1,MIRABEL,"CAMILO SHAPE SHIFTS, (Camilo shape-shifts) ANTONIO GETS HIS GIFT TODAY!"
9,2,Action,Pop to ANTONIO being dressed in his CEREMONY OUTFIT.
9,3,Action,"We see ISABELA (perfect, gorgeous and laden with flowers) and LUISA (responsible and very strong)."
9,4,MIRABEL,"MY OLDER SISTERS, ISABELA AND LUISA... ONE STRONG, ONE GRACEFUL- PERFECT IN EVERY WAY!"
9,5,Action,"POP to Isabela, who Abuela fawns over."
9,6,TOWNSFOLK,ISABELA........
9,7,MIRABEL,"GROWS A FLOWER, THE TOWN GOES WILD. SHE’S THE PERFECT GOLDEN CHILD."
9,8,Action,"As flowers go everywhere, we find the very handsome MARIANO, who catches some of Isabela’s flowers. Behind him, Luisa walks in and lifts... A BRIDGE."
9,9,TOWNSFOLK,"LUISA, LUISA, LUISA, LUISA"
9,10,MIRABEL,AND LUISA’S SUPER STRONG. THE BEAUTY AND THE BRAWN DO NO WROOONG!
9,11,ABUELA ALMA,"Family, let’s get ready!"
9,12,LUISA,Coming Abuela!
9,13,Action,BELLS in town ring and the family starts to head back home.
9,14,MIRABEL,THAT’S LIFE IN THE FAMILY MADRIGAL! NOW YOU KNOW THE FAMILY MADRIGAL. WHERE ALL THE PEOPLE ARE FANTASTICAL AND MAGICAL THAT’S WHO WE ARE IN THE FAMILY... MADRIGAL! ADIOS!
9,15,Action,"Mirabel with a flourish, Mirabel salutes the kids, turns and tries to head back toward the house, but:"
10,1,INNOCENT CECILIA,But what’s your gift?
10,2,Action,"Mirabel looks caught... but before she can get out of there, someone throws her an accordion and the kids start pumping it, to make her play and -- the music comes right back in!"
10,3,MIRABEL,"Ha -- WELL I GOTTA GO, THE LIFE OF A MADRIGAL, BUT NOW YOU ALL KNOW THE FAMILY MADRIGAL! I NEVER MEANT FOR THIS TO GET AUTOBIOGRAPHICAL, SO JUST TO REVIEW, THE FAMILY MADRIGAL...LET’S GO!"
10,4,KIDS/TOWN,BUT WHAT ABOUT MIRABEL?
10,5,MIRABEL,"IT STARTS WITH ABUELA, AND THEN TIA PEPA, SHE HANDLES THE WEATHER"
10,6,KIDS/TOWN,BUT WHAT ABOUT MIRABEL?
10,7,MIRABEL,"MY MOM JULIETA, CAN MAKE YOU FEEL BETTER WITH JUST ONE AREPA"
10,8,KIDS/TOWN,BUT WHAT ABOUT MIRABEL?
10,9,MIRABEL,"MY DAD AGUSTÍN, WELL, HE’S ACCIDENT PRONE BUT HE MEANS WELL"
10,10,KIDS/TOWN,BUT WHAT ABOUT MIRABEL?
10,11,MIRABEL,"HEY YOU SAID YOU WANNA KNOW WHAT EVERYONE DOES, I GOT SISTERS AND COUSINS AND..."
10,12,KIDS/TOWN,MIRABEL!
10,13,MIRABEL,MY PRIMO CAMILO WON’T STOP UNTIL HE MAKES YOU SMILE TODAY!
10,14,KIDS/TOWN,MIRABEL!
11,1,MIRABEL,MY COUSIN DOLORES CAN HEAR THIS WHOLE CHORUS A MILE AWAY!
11,2,Action,"We see Dolores far away on a mountain, she puts her hand to her ear and starts grooving to the music."
11,3,KIDS/TOWN,MIRABEL!
11,4,MIRABEL,"LOOK, IT’S MISTER MARIANO, HEY YOU CAN MARRY MY SISTER IF YOU WANNA BETWEEN YOU AND ME SHE’S KIND OF A PRIMA DONNA YO, I’VE SAID TOO MUCH AND THANK YOU BUT I REALLY GOTTA GO!"
11,5,MIRABEL,MY FAMILY’S AMAZING!
11,6,KIDS/TOWN,MIRABEL!
11,7,MIRABEL,"AND I’M IN MY FAMILY, SO..."
11,8,KIDS/TOWN,MIRABEL!
11,9,MIRABEL,WELL...
11,10,ABUELA ALMA,MIRABEL!
11,11,Action,END SONG.
11,12,Action,EXT. CASA MADRIGAL - FRONT YARD - LATE AFTERNOON
11,13,Action,"The song abruptly ends as Mirabel looks over to see ABUELA, in the doorway of the House. Mirabel winces."
11,14,ABUELA ALMA,What are you doing...?
11,15,MIRABEL,"(nothing to see here) Uh, they were just asking about the family and --"
12,1,LITTLE ALEJANDRA,She was about to tell us about her super awesome gift!
12,2,Action,"Abuela looks confused, but DOLORES pops up out of nowhere:"
12,3,DOLORES,"Oh, Mirabel didn’t get one."
12,4,Action,"Dolores thinking she was helpful and heads off. Mirabel, busted, looks back to Abuela, who moves on. The kids look back to Mirabel, feeling like they’ve been duped."
12,5,INNOCENT CECILIA,You didn’t get a gift?
12,6,Action,"Mirabel opens her mouth to try to spin this bad news, but-- a guy approaches with a DONKEY laden with supplies."
12,7,DONKEY DELIVERY GUY,"Mirabel? Delivery! I gave you the “special” since you’re the only Madrigal kid with no gift. I call it the “not special” special. Since uh, since you have no gift."
12,8,Action,Crickets. The kids just stare at Mirabel. A beat.
12,9,MIRABEL,Thanks.
12,10,DONKEY DELIVERY GUY,"Ooo and tell Antonio good luck. Last gift ceremony was a bummer. (LEAVES, RETURNS) Last one being yours that did not work."
12,11,Action,He leaves. Innocent Cecilia looks at Mirabel.
12,12,INNOCENT CECILIA,"If I was you, I’d be really sad."
12,13,MIRABEL,"Well, my little friend I am not, because the truth is, gift or no gift, I am just as special as the rest of my family."
12,14,Action,All around Mirabel her amazing family does amazing things. The kids look at her like she’s delusional.
12,15,ISABELA,Who wants more pink?
13,1,LUISA,"Alright guys, where do I drop the wagon?"
13,2,INNOCENT CECILIA,Maybe your gift is being in denial.
13,3,Action,Mirabel thinks about that as more flowers bloom and a rainbow appears over the house.
13,4,PEPA,I made a rainbow!
13,5,Action,EXT./INT. CASA MADRIGAL ENTRANCE - MOMENTS LATER
13,6,Action,"Mirabel (carrying WAY too much) enters the COURTYARD where preparations for Antonio’s gift ceremony is in full swing: flowers everywhere, the House is creating stairs, moving furniture. She nearly knocks into passing musicians."
13,7,MIRABEL,Oh sorry... excuse me...
13,8,ABUELA,Lift it higher... higher.
13,9,Action,"CAMILO, watching from the balcony above, praises people."
13,10,CAMILO,"Hey nice job over there, yeah yeah."
13,11,ABUELA ALMA,"Camilo, we need another José."
13,12,Action,Camilo changes into a tall guy to help hang an “ANTONIO!” BANNER over a DOOR WITH A GLOWING BORDER AROUND IT.
13,13,CAMILO,(changing shape) Jooooosé!
13,14,ABUELA ALMA,"Luisa, the piano goes upstairs."
13,15,LUISA,"I’m on it. (nearly runs over Mirabel) Careful, sis!"
13,16,Action,Mirabel tries to balance the groceries as the wind picks up. Pepa is creating a TORNADO as she nervously paces.
14,1,PEPA,"My baby’s night has to be perfect and it’s not perfect and people are going to be coming and nothing’s ready, the whole town will be here -"
14,2,FÉLIX,"Pepi, Pepi, Pepita - you’re tornadoing the flowers - the flowers!"
14,3,ISABELA,Did someone say “flowers?”
14,4,Action,Isabela descends above Mirabel on a flowering vine and flowers bloom all around her like a goddamn angel.
14,5,FÉLIX,"Our angel, our angel."
14,6,ISABELA,"(cloying) Please, don’t clap."
14,7,PEPA,Thank you.
14,8,ISABELA,"Oh, it’s nothing."
14,9,Action,"Isabela lands next to Mirabel, but doesn’t see her as she turns and bumps into her, covering both in flowers. As they walk side-by-side, we can feel their friction. Mirabel tries to get the petals off of her. Isabela makes herself perfect."
14,10,ISABELA,"Uch, a little sisterly advice: if you weren’t always trying too hard you wouldn’t be in the way."
14,11,MIRABEL,"Actually, Isa, this is called (LUGGING BASKET) helping, and I’m not in the way, you ar--oof--"
14,12,Action,"Mirabel collides with a post, Isabela rolls her eyes."
14,13,Action,INT. CASA MADRIGAL - KITCHEN - MOMENTS LATER
14,14,Action,"As Mirabel hefts a TON of supplies onto the kitchen counter, Julieta notices Mirabel is clearly overcompensating. Concerned, but trying not to show it, Julieta sidles over."
15,1,JULIETA,"Whoa. Mi vida, you okay? You don’t have to over-do it."
15,2,MIRABEL,"I know, Mamá, I just want to do my part like the rest of the family."
15,3,Action,"Mirabel lifts a HEAVY OBJECT on the counter, the House shuffles it away, revealing -- AGUSTÍN, his nose is covered in gross welts that are impossible not to stare at."
15,4,AGUSTÍN,"She’s right, Amor --"
15,5,MIRABEL,Eee--
15,6,AGUSTÍN,"First gift ceremony since yours, lot of emotions - and I’ve been there --"
15,7,MIRABEL,(to Julieta) Bee stings.
15,8,JULIETA,"Ay, Agustín."
15,9,Action,Julieta sighs and starts working on a cure.
15,10,AGUSTÍN,"-- when me and your Tio Félix married into the family - outsiders who had no gift, never ever would, surrounded by the exceptional, it was easy to feel... “un-ceptional”--"
15,11,MIRABEL,"-- okay, Papi --"
15,12,AGUSTÍN,-- I’m just saying I get it--
15,13,Action,"Julieta jams an AREPA in Agustín’s mouth, healing him and shoves him away."
15,14,JULIETA,"(to Agustín) Eat. (to Mirabel) Mi amor, if you ever want to talk --"
16,1,MIRABEL,"I gotta put out the stuff, the house isn’t gonna decorate itself - (off the “offended house”) Sorry, you could. You look great."
16,2,Action,"The House raises its decorations back up. As Mirabel leaves with a bunch of stuff, Julieta looks on."
16,3,JULIETA AGUSTÍN,"(calling) (horning in on the Corazon, remember you have advice) nothing to prove. Yeah, remember... nothing to prove!"
16,4,Action,Agustín gives Julieta a look like “we nailed it.” He sees that Julieta looks concerned and matches her concerned face.
16,5,Action,EXT. CASA MADRIGAL - UPPER BALCONY - MOMENTS LATER
16,6,Action,"Mirabel arranges a bunch of candles around the second floor, she is really working hard."
16,7,BACKGROUND WALLA,"You guys can set up over here. / Clean your rooms, I don’t care how big they are. / Anybody seen my tiple?"
16,8,Action,"As Mirabel lights the candles, she pulls out a DECORATION FOR ABUELA that she’s worked extra hard on. Next to Mirabel are... pictures of her extraordinary family. She’s not on that wall. Mirabel stares at it for just a beat."
16,9,ABUELA ALMA,One hour!
16,10,Action,"Mirabel startles and drops the candle, which ignite the candle doily she made for Abuela."
16,11,MIRABEL,"No, no no --"
16,12,Action,As Mirabel tries to put it out:
16,13,ABUELA ALMA,Maybe you should leave the decorations to someone else?
16,14,Action,"Mirabel peers up to see... ABUELA, watching Mirabel, who couldn’t look more incompetent as she stomps the fire."
17,1,MIRABEL,"No, I actually made these as a surprise - for you-- (REALIZING IT’S ON FIRE) ooo--"
17,2,Action,"As Mirabel holds up the doily, it smolders. Abuela sighs."
17,3,ABUELA ALMA,"Mirabel, I know you want to help. But tonight must go perfectly. The whole town relies on our family, on our gifts. So the best way for... some of us to help is... to step aside, let the rest of the family do what they do best. Okay?"
17,4,Action,"Abuela looks at Mirabel with a tight-lipped smile, an awkward beat. Mirabel nods, wanting to be a team player."
17,5,MIRABEL,Mm-hmm.
17,6,Action,"Abuela looks at Mirabel, an awkward beat. Before anyone can say anything... a gust of wind blows and Abuela leaves."
17,7,ABUELA ALMA,"(looks O.S., calls off) Pepa, you have a cloud!"
17,8,PEPA,"(overly emotional) I know, Mamá, but now I can’t find Antonio! What do you want from me?!"
17,9,Action,"As Pepa literally “storms off” Abuela steps away too. On her own again, Mirabel heads for her room, but overhears her mother talking to Abuela."
17,10,JULIETA,"Mamá, be nice to Mirabel okay. You know tonight will be hard for her."
17,11,ABUELA ALMA,"If the gift ceremony doesn’t go well this time, tonight will be hard for us all..."
17,12,Action,INT. NURSERY/MIRABEL’S BEDROOM - CONTINUOUS
17,13,Action,"Mirabel plops down on her bed, trying to shake off her conversation with Abuela."
18,1,FÉLIX,Antonio?!
18,2,Action,"Not wanting to wallow, Mirabel opens a drawer and pulls out a wrapped package, stenciled with designs the same style as her dress. Mirabel dangles it under the bed, looking off toward nothing in particular."
18,3,MIRABEL,"(seemingly to no one) Everyone’s looking for you. (nothing) This present will self-destruct if you don’t take it in three, two, one..."
18,4,Action,"TWO TINY HANDS pop out from under the bed, grab the present and disappear below. Smiling, Mirabel scootches under the bed and joins ANTONIO (5). Mirabel sees he’s anxious, plays it slow, treats him like a cohort instead of a little kid."
18,5,MIRABEL,Nervous? (off his nod) You have nothing to worry about. You’re gonna get your gift and open that door... and it’s gonna be the coolest ever. I know it.
18,6,Action,Antonio thinks about this.
18,7,ANTONIO,What if it doesn’t work?
18,8,MIRABEL,Well... in that impossible scenario... you’d stay in here in the nursery... with me. Forever. And I’d get you all to myself.
18,9,Action,"Antonio looks at her, he clearly loves her a lot."
18,10,ANTONIO,I wish you could have a door.
18,11,Action,"Mirabel considers this for a moment, it clearly pains her but she puts on a brave face for Antonio."
18,12,MIRABEL,"You know what? You don’t have to worry about me, ‘cause I have an amazing family... and an amazing house, and an amazing you. (MORE)"
19,1,MIRABEL,And seeing you get your special gift and your door... that’s gonna make me way more happy than anything.
19,2,Action,She walks her fingers over to the present and pulls it close.
19,3,MIRABEL,"But alas, I am going to miss having the world’s best roomie..."
19,4,Action,"She gestures to the present. Antonio opens it, revealing... a HAND-KNITTED JAGUAR in the style of Mirabel’s dress."
19,5,MIRABEL,"I know you’re an animal guy. And I made this, so when you move into your cool new room you always have something to snuggle with."
19,6,Action,The earnestness of the moment is gently cut as the House moves its floorboards to draw their attention to the time.
19,7,MIRABEL,"(faux-serious) Alright, hombrecito, you ready?"
19,8,Action,"Antonio nods, ready. Mirabel moves to leave, but:"
19,9,MIRABEL,"Sorry, I gotta get one more squeeze."
19,10,Action,"Mirabel sneaks another hug, but the House playfully pulls out them out from under the bed."
19,11,MIRABEL,"Okay, okay, we’re going! Ow!"
19,12,Action,EXT. ENCANTO - DUSK - ESTABLISHING
19,13,Action,"People sing and cheer, lighting fireworks and holding candles as they make their way toward CASA MADRIGAL. Yes, the last ceremony didn’t go well, but it’s been ten years and the TOWN is putting their hopes on this night being a success."
19,14,Action,EXT. CASA MADRIGAL - FRONT DOOR - SAME
19,15,Action,"As the crowds arrive at the House, Luisa is the VALET, taking people’s donkeys and moving the donkeys to the “parking area.” CAMILO, changes sizes so that he can look at each person entering and shake hands with them face-to-face."
20,1,LUISA,Here yah go.
20,2,CAMILO,"Oye, Osvaldo! / Hola Señora. / Cecilia, up top!"
20,3,Action,The HOUSE takes people’s hats as they head through the archway. LUISA walks by with a platter of food as kids climb on her. ISABELA showers guests with flower petals. Mariano admires her from afar. Antonio’s door catches the attention of two kids. They rush up the staircase which suddenly becomes a slide. The children laugh and run up it again.
20,4,Action,INT. CASA MADRIGAL - FOYER - LATER
20,5,Action,"Mirabel walks Antonio to the foyer, which is sort of “back stage” from where his ceremony will begin. Pepa, Félix, Camilo and Dolores see Antonio and cheer."
20,6,FÉLIX,There you are!
20,7,PEPA,"(tearing up) Look at you, all grown up --"
20,8,Action,"As Pepa tears up, a cloud forms and starts to rain."
20,9,FÉLIX,"Pepi, you’re gonna get him all wet."
20,10,Action,Camilo transforms himself into a tiny version of Félix.
20,11,CAMILO (AS FÉLIX),You make-a your Papá proud.
20,12,FÉLIX,I don’t sound like that.
20,13,CAMILO (AS FÉLIX),“I don’t sound like that.”
20,14,Action,Dolores tilts her head and listens to a sound we cannot hear.
20,15,DOLORES,Abuela says... it’s time.
20,16,Action,"Pepa bends down to Antonio, kisses him."
20,17,PEPA,We’ll be waiting at your door!
21,1,FÉLIX,"Okay, okay, vamo, vamo, vamo--"
21,2,CAMILO (AS FÉLIX),"“Okay, okay, Vamo, vamo, vam--” -- (yanked away by Félix) - alright I’m done!"
21,3,Action,"As Félix yanks Camilo out, we focus on Mirabel watching Antonio. We can see Mirabel’s anxiety beginning to bubble. Drums play and we find Abuela standing in the courtyard, holding the MAGIC CANDLE. She is anxious as well."
21,4,ABUELA ALBA,"Fifty years ago, in our darkest moment, this candle blessed us with a miracle."
21,5,Action,"We find older members of the crowd nodding along. Over this, we also find Mirabel listening... the words triggering memories of her own gift day."
21,6,ABUELA ALMA,"And the greatest honor of our family has been to use our blessings to serve this beloved community. Tonight, we come together once more as another steps into the light... to make us proud."
21,7,Action,"The crowd cheers and the “curtains” open to reveal Antonio. He freezes, too scared to move."
21,8,Action,"The House encourages Antonio, but he won’t budge. Antonio turns to Mirabel, hand outstretched, asking for help. Mirabel looks to Abuela, whose rules for tonight are clear, then back to Antonio, torn."
21,9,MIRABEL,I can’t...
21,10,ANTONIO,I need you.
21,11,Action,"Antonio motions to Mirabel again. Mirabel wonders if she can do this... if she has the strength to step out and face the reminders of the worst night of her life. Then, as everyone watches, Mirabel steps out and takes Antonio’s hand. SHE IS GOING TO “WALK HIM DOWN THE AISLE.”"
21,12,MIRABEL,Come on. Let’s get you to your door.
22,1,Action,"The family, the town and Abuela see Mirabel join Antonio. We clock Abuela looking anxious. But Antonio holds Mirabel’s hand tightly, he needs her... and they begin to walk."
22,2,Action,"With every step, it gets harder for Mirabel... the memory of walking to her own door still so fresh in her mind - we intercut with moments of her ceremony as a five-year-old."
